FIPS,State (FIPS Code),County of current residence,Census Tract,Geographic Identifier,Area Name,Tribal Tract,Renter-Occupied Housing Units,Renter-Occupied Housing Units: More than 10.0 Percent,Renter-Occupied Housing Units: More than 20.0 Percent,Renter-Occupied Housing Units: More than 30.0 Percent,Renter-Occupied Housing Units: More than 40.0 Percent,Renter-Occupied Housing Units: More than 50.0 Percent,Renter-Occupied Housing Units: Not Computed,% Renter-Occupied Housing Units: More than 10.0 Percent,% Renter-Occupied Housing Units: More than 20.0 Percent,% Renter-Occupied Housing Units: More than 30.0 Percent,% Renter-Occupied Housing Units: More than 40.0 Percent,% Renter-Occupied Housing Units: More than 50.0 Percent,% Renter-Occupied Housing Units: Not Computed,Renter-Occupied Housing Units,Renter-Occupied Housing Units: 30 to 49 Percent,Renter-Occupied Housing Units: 50 percent or More,% Renter-Occupied Housing Units: 30 to 49 Percent,% Renter-Occupied Housing Units: 50 percent or More,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under .50,Population for Whom Poverty Status Is Determined: .50 to .74,Population for Whom Poverty Status Is Determined: .75 to .99,Population for Whom Poverty Status Is Determined: 1.00 to 1.49,Population for Whom Poverty Status Is Determined: 1.50 to 1.99,Population for Whom Poverty Status Is Determined: 2.00 and Over,% Population for Whom Poverty Status Is Determined: Under .50,% Population for Whom Poverty Status Is Determined: .50 to .74,% Population for Whom Poverty Status Is Determined: .75 to .99,% Population for Whom Poverty Status Is Determined: 1.00 to 1.49,% Population for Whom Poverty Status Is Determined: 1.50 to 1.99,% Population for Whom Poverty Status Is Determined: 2.00 and Over,White Alone Population for Whom Poverty Status Is  Determined:,White Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,White Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,% White Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,% White Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,Black or African American Alone Population for  Whom Poverty Status Is Determined:,Black or African American Alone Population for  Whom Poverty Status Is Determined: Income Below Poverty Level,Black or African American Alone Population for  Whom Poverty Status Is Determined: Income At or Above Poverty Level,% Black or African American Alone Population for  Whom Poverty Status Is Determined: Income Below Poverty Level,% Black or African American Alone Population for  Whom Poverty Status Is Determined: Income At or Above Poverty Level,American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined:,American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined: Income Below Poverty Level,American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,% American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined: Income Below Poverty Level,% American Indian and Alaska Native Alone  Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Asian Alone Population for Whom Poverty Status Is  Determined:,Asian Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,Asian Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,% Asian Alone Population for Whom Poverty Status Is  Determined: Income Below Poverty Level,% Asian Alone Population for Whom Poverty Status Is  Determined: Income At or Above Poverty Level,Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined:,Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined: Income Below Poverty Level,Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,% Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined: Income Below Poverty Level,% Native Hawaiian and Other Pacific Islander Alone  Population for Whom Poverty Status Is Determined: Income At or Above Poverty Level,Some Other Race Alone Population for Whom Poverty  Status Is Determined:,Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,% Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,% Some Other Race Alone Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,Two or More Races Population for Whom Poverty  Status Is Determined:,Two or More Races Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Two or More Races Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,% Two or More Races Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,% Two or More Races Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,Hispanic or Latino Population for Whom Poverty  Status Is Determined:,Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level,% Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income Below Poverty Level,% Hispanic or Latino Population for Whom Poverty  Status Is Determined: Income At or Above Poverty Level
06037101110,06,037,101110,1400000US06037101110,Census Tract 1011.10,,760,680,575,399,327,216,72,89.47,75.66,52.5,43.03,28.42,9.47,760,183,216,24.08,28.42,4068,151,47,278,142,269,3181,3.71,1.16,6.83,3.49,6.61,78.2,2307,281,2026,12.18,87.82,141,25,116,17.73,82.27,0,0,0,,,287,2,285,0.7,99.3,0,0,0,,,553,0,553,0,100,780,168,612,21.54,78.46,1412,182,1230,12.89,87.11
06037101122,06,037,101122,1400000US06037101122,Census Tract 1011.22,,311,250,250,217,102,96,61,80.39,80.39,69.77,32.8,30.87,19.61,311,121,96,38.91,30.87,4166,173,18,75,143,181,3576,4.15,0.43,1.8,3.43,4.34,85.84,3016,203,2813,6.73,93.27,24,0,24,0,100,24,0,24,0,100,544,0,544,0,100,0,0,0,,,277,8,269,2.89,97.11,281,55,226,19.57,80.43,413,0,413,0,100
06037101220,06,037,101220,1400000US06037101220,Census Tract 1012.20,,761,675,548,329,186,154,57,88.7,72.01,43.23,24.44,20.24,7.49,761,175,154,23,20.24,3434,297,235,78,42,242,2540,8.65,6.84,2.27,1.22,7.05,73.97,1704,326,1378,19.13,80.87,10,0,10,0,100,87,0,87,0,100,490,10,480,2.04,97.96,0,0,0,,,517,137,380,26.5,73.5,626,137,489,21.88,78.12,1312,281,1031,21.42,78.58
06037101221,06,037,101221,1400000US06037101221,Census Tract 1012.21,,1154,1140,1010,793,696,459,14,98.79,87.52,68.72,60.31,39.77,1.21,1154,334,459,28.94,39.77,3881,293,147,115,532,264,2530,7.55,3.79,2.96,13.71,6.8,65.19,1814,281,1533,15.49,84.51,121,29,92,23.97,76.03,27,0,27,0,100,390,13,377,3.33,96.67,0,0,0,,,805,196,609,24.35,75.65,724,36,688,4.97,95.03,1428,166,1262,11.62,88.38
06037101222,06,037,101222,1400000US06037101222,Census Tract 1012.22,,873,860,665,483,459,416,0,98.51,76.17,55.33,52.58,47.65,0,873,67,416,7.67,47.65,2564,21,89,246,309,277,1622,0.82,3.47,9.59,12.05,10.8,63.26,1409,322,1087,22.85,77.15,14,0,14,0,100,80,0,80,0,100,51,13,38,25.49,74.51,25,0,25,0,100,55,0,55,0,100,930,21,909,2.26,97.74,1274,34,1240,2.67,97.33
06037101300,06,037,101300,1400000US06037101300,Census Tract 1013,,316,258,232,118,87,78,43,81.65,73.42,37.34,27.53,24.68,13.61,316,40,78,12.66,24.68,4165,284,4,35,352,96,3394,6.82,0.1,0.84,8.45,2.3,81.49,3194,259,2935,8.11,91.89,43,0,43,0,100,0,0,0,,,229,35,194,15.28,84.72,0,0,0,,,283,19,264,6.71,93.29,416,10,406,2.4,97.6,646,29,617,4.49,95.51
06037101400,06,037,101400,1400000US06037101400,Census Tract 1014,,366,343,343,291,165,117,23,93.72,93.72,79.51,45.08,31.97,6.28,366,174,117,47.54,31.97,3485,103,35,101,576,389,2281,2.96,1,2.9,16.53,11.16,65.45,2340,173,2167,7.39,92.61,58,0,58,0,100,0,0,0,,,333,26,307,7.81,92.19,0,0,0,,,124,0,124,0,100,630,40,590,6.35,93.65,736,39,697,5.3,94.7
06037102103,06,037,102103,1400000US06037102103,Census Tract 1021.03,,299,299,275,269,171,163,0,100,91.97,89.97,57.19,54.52,0,299,106,163,35.45,54.52,2054,77,76,31,409,80,1381,3.75,3.7,1.51,19.91,3.89,67.23,1686,172,1514,10.2,89.8,51,0,51,0,100,0,0,0,,,241,12,229,4.98,95.02,0,0,0,,,27,0,27,0,100,49,0,49,0,100,102,0,102,0,100
06037102104,06,037,102104,1400000US06037102104,Census Tract 1021.04,,301,234,183,98,51,51,49,77.74,60.8,32.56,16.94,16.94,16.28,301,47,51,15.61,16.94,3828,100,0,90,310,47,3281,2.61,0,2.35,8.1,1.23,85.71,2860,160,2700,5.59,94.41,47,0,47,0,100,14,0,14,0,100,395,30,365,7.59,92.41,0,0,0,,,61,0,61,0,100,451,0,451,0,100,498,0,498,0,100
06037102105,06,037,102105,1400000US06037102105,Census Tract 1021.05,,213,208,162,98,74,70,5,97.65,76.06,46.01,34.74,32.86,2.35,213,28,70,13.15,32.86,1664,35,26,95,130,154,1224,2.1,1.56,5.71,7.81,9.25,73.56,442,32,410,7.24,92.76,22,0,22,0,100,17,0,17,0,100,161,8,153,4.97,95.03,0,0,0,,,433,42,391,9.7,90.3,589,74,515,12.56,87.44,1096,125,971,11.41,88.59
06037102107,06,037,102107,1400000US06037102107,Census Tract 1021.07,,253,196,144,130,64,28,33,77.47,56.92,51.38,25.3,11.07,13.04,253,102,28,40.32,11.07,3479,296,118,69,79,285,2632,8.51,3.39,1.98,2.27,8.19,75.65,2684,376,2308,14.01,85.99,6,0,6,0,100,30,0,30,0,100,252,47,205,18.65,81.35,0,0,0,,,122,0,122,0,100,385,60,325,15.58,84.42,553,78,475,14.1,85.9
06037103101,06,037,103101,1400000US06037103101,Census Tract 1031.01,,131,75,68,68,31,31,56,57.25,51.91,51.91,23.66,23.66,42.75,131,37,31,28.24,23.66,2705,51,37,22,201,217,2177,1.89,1.37,0.81,7.43,8.02,80.48,1943,67,1876,3.45,96.55,18,7,11,38.89,61.11,1,1,0,100,0,212,18,194,8.49,91.51,0,0,0,,,104,8,96,7.69,92.31,427,9,418,2.11,97.89,586,24,562,4.1,95.9
